Method,Silhouette Score,Calinski-Harabasz,Davies-Bouldin
K-Means,0.5569447875022888,359.63864177669194,0.49366254441581275
Agglomerative,0.5591578483581543,333.8680305799212,0.4602782025404107
DBSCAN*,0.6193886399269104,753.557398869084,0.352445153484325
PCA + K-Means (Baseline),0.19021222131160084,19.15762881321181,1.3779975315203887
