Method,Silhouette,Calinski-Harabasz,Davies-Bouldin,NMI,ARI,Purity
VAE,0.24761927127838135,40.968990175571655,1.2058302936909167,0.06815406691169129,0.011325927989606407,0.33
Conv-VAE,0.5569447875022888,359.63864177669194,0.49366254441581275,0.08131998510888121,0.009248853105366914,0.3
CVAE (Disentangled),0.15307141840457916,20.86818902750254,1.4475602366566787,0.05908960521242066,0.0015548178341807791,0.32
